Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Initial_Cost_Estimate,US East (N. Virginia),,S3 Standard,0,230,2760.00,USD,S3 Standard storage (10000 GB per month)
Initial_Cost_Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
Initial_Cost_Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,849.943,10199.32,USD,"Quantity (1), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (3000 GB), Instance type (db.m5.large)"
Initial_Cost_Estimate,US East (N. Virginia),,Amazon EC2,0,161.54,1938.48,USD,"Operating system (Linux), Quantity (1), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Instance type (t4g.xlarge)"
Initial_Cost_Estimate,US East (N. Virginia),,Elastic Load Balancing,0,4396.43,52757.16,USD,Number of Application Load Balancers (1)
Initial_Cost_Estimate,US East (N. Virginia),,Elastic Load Balancing,0,1330.43,15965.16,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (300 GB per hour)"
Initial_Cost_Estimate,US East (N. Virginia),,Amazon EC2,0,161.54,1938.48,USD,"Operating system (Linux), Quantity (1), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Instance type (t4g.xlarge)"
Initial_Cost_Estimate,US East (N. Virginia),,Amazon EC2,0,161.54,1938.48,USD,"Operating system (Linux), Quantity (1), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Instance type (t4g.xlarge)"
Initial_Cost_Estimate,US East (N. Virginia),,Amazon EC2,0,161.54,1938.48,USD,"Operating system (Linux), Quantity (1), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Instance type (t4g.xlarge)"
Initial_Cost_Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,849.943,10199.32,USD,"Quantity (1), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (3000 GB), Instance type (db.m5.large)"
Initial_Cost_Estimate,US East (N. Virginia),,Amazon EC2,0,161.54,1938.48,USD,"Operating system (Linux), Quantity (1), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Instance type (t4g.xlarge)"
Initial_Cost_Estimate,US East (N. Virginia),,Amazon EC2,0,161.54,1938.48,USD,"Operating system (Linux), Quantity (1), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Instance type (t4g.xlarge)"
Initial_Cost_Estimate,US East (N. Virginia),,Amazon EC2,0,161.54,1938.48,USD,"Operating system (Linux), Quantity (1), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Instance type (t4g.xlarge)"
Initial_Cost_Estimate,US East (N. Virginia),,Amazon EC2,0,161.54,1938.48,USD,"Operating system (Linux), Quantity (1), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Instance type (t4g.xlarge)"



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
